도로명,시작위도,시작경도,중간위도,중간경도,끝위도,끝경도,거리
자양로43길(10),37.551606,127.0907819,37.5526002,127.0903194,37.5526002,127.0903194,1586
자양로43길(11),37.551606,127.0907819,37.5511317,127.0910025,37.5509536,127.0915548,1609
영화사로5길(0),37.5567054,127.0917041,37.5575169,127.092597,37.5575169,127.092597,1409
영화사로5길(1),37.5567054,127.0917041,37.5563216,127.0912831,37.5563216,127.0912831,1464
영화사로5길(2),37.5578472,127.0929605,37.5575169,127.092597,37.5575169,127.092597,1375
영화사로5길(3),37.5575169,127.092597,37.5578472,127.0929605,37.5578472,127.0929605,1369
영화사로5길(4),37.5575169,127.092597,37.5567054,127.0917041,37.5567054,127.0917041,1423
영화사로5길(5),37.5563216,127.0912831,37.5567054,127.0917041,37.5567054,127.0917041,1453
자양로44나길(0),37.5497197,127.0950044,37.5506084,127.0948212,37.5508082,127.0949432,1492
자양로44나길(1),37.5515624,127.0946342,37.5510623,127.0948391,37.5510623,127.0948391,1485
자양로44나길(2),37.5508082,127.0949432,37.5510623,127.0948391,37.5510623,127.0948391,1482
자양로44나길(3),37.5508082,127.0949432,37.5508469,127.095114,37.5508206,127.0959433,1461
자양로44나길(4),37.5508082,127.0949432,37.5506084,127.0948212,37.5497197,127.0950044,1492
자양로44나길(5),37.5508206,127.0959433,37.5508469,127.095114,37.5508082,127.0949432,1461
자양로44나길(6),37.5510623,127.0948391,37.5515624,127.0946342,37.5515624,127.0946342,1484
자양로44나길(7),37.5510623,127.0948391,37.5508082,127.0949432,37.5508082,127.0949432,1477
자양로44다길(0),37.5498217,127.0956696,37.5505761,127.09561,37.5508206,127.0959433,1443
자양로44다길(1),37.5512337,127.0965064,37.550993,127.0961783,37.550993,127.0961783,1421
자양로44다길(2),37.5508206,127.0959433,37.5508452,127.0959768,37.5508452,127.0959768,1430
자양로44다길(3),37.5508206,127.0959433,37.5503827,127.095553,37.5498217,127.0956696,1444
자양로44다길(4),37.5515367,127.0955798,37.550993,127.0961783,37.550993,127.0961783,1429
자양로44다길(5),37.550993,127.0961783,37.5512337,127.0965064,37.5512337,127.0965064,1410
자양로44다길(6),37.550993,127.0961783,37.5508452,127.0959768,37.5508452,127.0959768,1428
자양로44다길(7),37.550993,127.0961783,37.5515367,127.0955798,37.5515367,127.0955798,1438
자양로44다길(8),37.5508452,127.0959768,37.550993,127.0961783,37.550993,127.0961783,1424
자양로44다길(9),37.5508452,127.0959768,37.5508206,127.0959433,37.5508206,127.0959433,1430
자양로52길(0),37.5523846,127.0946868,37.5525351,127.0945469,37.5525351,127.0945469,1472
자양로52길(1),37.5529944,127.0939208,37.552818,127.0941613,37.552818,127.0941613,1478
자양로52길(2),37.5529944,127.0939208,37.5532625,127.0934078,37.5532625,127.0934078,1495
자양로52길(3),37.5526288,127.0944192,37.5525351,127.0945469,37.5525351,127.0945469,1474
자양로52길(4),37.5526288,127.0944192,37.552818,127.0941613,37.552818,127.0941613,1479
자양로52길(5),37.5526288,127.0944192,37.5529408,127.0946726,37.5534474,127.095084,1454
자양로52길(6),37.5534474,127.095084,37.5529408,127.0946726,37.5526288,127.0944192,1454
자양로52길(7),37.552818,127.0941613,37.5536601,127.0948536,37.5536601,127.0948536,1444
자양로52길(8),37.552818,127.0941613,37.5526288,127.0944192,37.5526288,127.0944192,1479
자양로52길(9),37.552818,127.0941613,37.5529944,127.0939208,37.5529944,127.0939208,1480
자양로52길(10),37.5536601,127.0948536,37.552818,127.0941613,37.552818,127.0941613,1463
자양로52길(11),37.5525351,127.0945469,37.5527472,127.0953472,37.5527472,127.0953472,1453
자양로52길(12),37.5525351,127.0945469,37.5523846,127.0946868,37.5523846,127.0946868,1472
자양로52길(13),37.5525351,127.0945469,37.5526288,127.0944192,37.5526288,127.0944192,1478
자양로52길(14),37.5527472,127.0953472,37.5525351,127.0945469,37.5525351,127.0945469,1464
자양로52길(15),37.5532625,127.0934078,37.5529944,127.0939208,37.5529944,127.0939208,1488
자양로48길(0),37.5522459,127.0956374,37.552394,127.0958214,37.552394,127.0958214,1418
자양로48길(1),37.5522459,127.0956374,37.5515624,127.0946342,37.5515624,127.0946342,1470
자양로48길(2),37.551302,127.0934326,37.5513933,127.0938536,37.5513933,127.0938536,1524
자양로48길(3),37.551302,127.0934326,37.5512659,127.0932032,37.5517471,127.0921865,1544
자양로48길(4),37.5515624,127.0946342,37.5522459,127.0956374,37.5522459,127.0956374,1456
자양로48길(5),37.5515624,127.0946342,37.5514271,127.0940096,37.5514271,127.0940096,1507
자양로48길(6),37.552394,127.0958214,37.5522459,127.0956374,37.5522459,127.0956374,1421
자양로48길(7),37.5514271,127.0940096,37.5515624,127.0946342,37.5515624,127.0946342,1499
자양로48길(8),37.5514271,127.0940096,37.5513933,127.0938536,37.5513933,127.0938536,1516
자양로48길(9),37.5513933,127.0938536,37.5514271,127.0940096,37.5514271,127.0940096,1513
자양로48길(10),37.5513933,127.0938536,37.551302,127.0934326,37.551302,127.0934326,1525
자양로48길(11),37.5517471,127.0921865,37.5512659,127.0932032,37.551302,127.0934326,1544
영화사로16길(0),37.5542569,127.0962523,37.5544052,127.095984,37.5544052,127.095984,1350
영화사로16길(1),37.5542569,127.0962523,37.5540924,127.096509,37.5540924,127.096509,1337
영화사로16길(2),37.5542569,127.0962523,37.5536311,127.0955898,37.5536311,127.0955898,1379
영화사로16길(3),37.5544374,127.0952197,37.5544264,127.0954804,37.5544264,127.0954804,1374
영화사로16길(4),37.5544374,127.0952197,37.5545836,127.0947324,37.5545836,127.0947324,1398
영화사로16길(5),37.5544052,127.095984,37.5542569,127.0962523,37.5542569,127.0962523,1349
영화사로16길(6),37.5544052,127.095984,37.5544441,127.0967811,37.5544441,127.0967811,1334
영화사로16길(7),37.5544052,127.095984,37.5544264,127.0954804,37.5544264,127.0954804,1367
영화사로16길(8),37.5545836,127.0947324,37.5544374,127.0952197,37.5544374,127.0952197,1396
영화사로16길(9),37.5544441,127.0967811,37.5544052,127.095984,37.5544052,127.095984,1342
영화사로16길(10),37.5537549,127.0970355,37.5538674,127.09686,37.5538674,127.09686,1325
영화사로16길(11),37.5537549,127.0970355,37.5535221,127.0973988,37.5535221,127.0973988,1309
영화사로16길(12),37.5536311,127.0955898,37.5542569,127.0962523,37.5542569,127.0962523,1360
영화사로16길(13),37.5536311,127.0955898,37.5533517,127.0952941,37.5533517,127.0952941,1415
영화사로16길(14),37.5538121,127.0954717,37.5540635,127.0951465,37.5544264,127.0954804,1388
영화사로16길(15),37.5540924,127.096509,37.5542569,127.0962523,37.5542569,127.0962523,1344
영화사로16길(16),37.5540924,127.096509,37.5538674,127.09686,37.5538674,127.09686,1335
영화사로16길(17),37.5540924,127.096509,37.5534303,127.095844,37.5534303,127.095844,1377
영화사로16길(18),37.5534303,127.095844,37.5540924,127.096509,37.5540924,127.096509,1357
영화사로16길(19),37.5544264,127.0954804,37.5544052,127.095984,37.5544052,127.095984,1358
영화사로16길(20),37.5544264,127.0954804,37.5544374,127.0952197,37.5544374,127.0952197,1382
