유치원명,주소,위도,경도
부모사랑 가정방문 요양센터,"서울특별시 광진구 아차산로 403, 305호 (구의동, 경암빌딩)",37.5376792,127.0874841
광진재가복지센터,"서울특별시 광진구 긴고랑로9길 50, 1층 (중곡동)",37.5655816,127.0820242
153 방문요양센터',"서울특별시 광진구 자양로13길 53, 101호 (자양동)",37.5339927,127.0817339
S2웃음드림방문요양센터,"서울특별시 광진구 긴고랑로14길 50, 101호 (중곡동, 로얄그린빌)",37.5604485,127.0803826
효드림복지센터,"서울특별시 광진구 자양로 126, 1108호 (구의동)",37.5389541,127.0836354
이레나방문요양센터,서울특별시 광진구 뚝섬로54길 49 (자양동),37.5294726,127.0801159
수일 홈케어 복지센타,"서울특별시 광진구 아차산로49길 75, 101호 (구의동, 어반클래식)",37.5402866,127.0841727
건대의료기,"서울특별시 광진구 능동로 110, B동 1층 108호 (화양동, 스타시티영존)",37.540661,127.0714121
늘푸른건강의료기,서울특별시 광진구 구의로1길 30 (구의동),37.5390454,127.0865859
따뜻한사람들 재가장기요양센터,"서울특별시 광진구 뚝섬로38길 26, 1층 103호 (자양동)",37.5330696,127.0732083
100세건강 의료기총판,서울특별시 광진구 영화사로 4 (중곡동),37.558454,127.0881093
참마음재가복지센터,"서울특별시 광진구 군자로 180, 601호 (군자동)",37.5565488,127.0781627
A+하나인효복지센터,"서울특별시 광진구 답십리로84길 11, 302호 (중곡동)",37.5706406,127.0840526
가자재가복지센터,서울특별시 광진구 용마산로7길 34 (중곡동),37.5595695,127.0858758
효나눔방문요양센터,서울특별시 광진구 천호대로119길 57 (중곡동),37.5574504,127.0858008
이레 방문요양 센터,"서울특별시 광진구 용마산로 160, 1층 (중곡동)",37.5678526,127.0864091
아차산 방문요양 센터,"서울특별시 광진구 천호대로136길 7, 1층 (구의동)",37.5489079,127.0916951
광진방문요양센터,"서울특별시 광진구 자양로13길 62, 201호 (자양동)",37.533899,127.0812273
다솜재가복지센터,"서울특별시 광진구 자양번영로4길 53-13, 101호 (자양동)",37.5316554,127.0783854
찾아가는 재가 돌봄 노인복지센터,"서울특별시 광진구 군자로 142, 지층 (군자동)",37.554278,127.0752864
효사랑홈케어,"서울특별시 광진구 자양로2길 5, 101호 (자양동)",37.5308367,127.0871972
153 행복한요양센터,"서울특별시 광진구 광나루로37길 43, 1층 (구의동)",37.5466475,127.0888135
나눔재가장기요양기관,"서울특별시 광진구 면목로17길 24-1, 102호 (중곡동)",37.5706524,127.0818152
기쁨을주는사람들,"서울특별시 광진구 구의강변로3길 16, 101호 (구의동, 파르네빌아파트)",37.536078,127.0913405
정다운 복지센터,"서울특별시 광진구 뚝섬로 492, 2층 203호 (자양동)",37.5360843,127.064952
성동실버케어요양원,"서울특별시 광진구 뚝섬로 613, 4층 (자양동)",37.532704,127.0779507
광진사랑복지센터,"서울특별시 광진구 아차산로57길 33, 2층 2호 (구의동)",37.5401019,127.0884285
드림플라이 협동조합 재가복지센터,"서울특별시 광진구 자양로41길 12, 2층 202호 (구의동)",37.5500101,127.0898296
우리네재가방문요양센터,"서울특별시 광진구 능동로32길 137, 101호 (능동, 능동아트빌라)",37.5527886,127.0858199
나우케어,"서울특별시 광진구 용마산로16길 5, 1층 (중곡동)",37.5621868,127.0876004
스마일 청연 재가노인복지센터,"서울특별시 광진구 광나루로 486, 7층 706호 (구의동, 센트럴빌)",37.544763,127.0832011
광진희망복지센터,"서울특별시 광진구 광나루로46길 9, 201호 (구의동)",37.5433435,127.0927362
가까운방문요양센터,"서울특별시 광진구 긴고랑로 132, 지102호 (중곡동)",37.5588294,127.089582
지극정성 방문요양센터,"서울특별시 광진구 아차산로 444, 503호 (구의동)",37.5385838,127.0919674
서울데이케어센터,"서울특별시 광진구 능동로37길 11, 4,5,6층 (중곡동)",37.558013,127.0790426
굿케어재가복지센터,"서울특별시 광진구 뚝섬로 742, 5층 507호 (구의동)",37.53423,127.0914495
우리부모 방문요양센터,"서울특별시 광진구 광장로3길 7, 1층 102호 (광장동)",37.5475098,127.1028917
중곡요양원,"서울특별시 광진구 면목로 203, 3층 (중곡동)",37.5712213,127.0832433
광진구건강가정지원센터,"서울특별시 광진구 천호대로136길 55 (구의동, 구의2동 복합청사 3, 4층)",37.5471504,127.0899608
사랑재 요양원,서울특별시 광진구 자양로 188 (구의동),37.5443012,127.0852547
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
