도로명,시작점 위도,시작점 경도,중간점_위도,중간점_경도,끝점_위도,끝점_경도,연속 일조량,총 일조량,경사도_점수(1-10점)
자양로22길(20),37.5398403,127.0878445,37.5398183,127.0875062,37.5398183,127.0875062,0,0,0
자양로22길(21),37.5396886,127.08563,37.5396939,127.0857016,37.5396939,127.0857016,0,0,0
자양로22길(22),37.5396886,127.08563,37.5396332,127.084892,37.5396332,127.084892,1,1,0
자양로22길(23),37.5398183,127.0875062,37.5398403,127.0878445,37.5398403,127.0878445,0,0,0
자양로22길(24),37.5398183,127.0875062,37.539814,127.0874395,37.539814,127.0874395,0,0,0
자양로22길(25),37.5407561,127.0877749,37.540311,127.0875474,37.540311,127.0875474,1,1,0
자양로22길(26),37.5396091,127.0845387,37.5396332,127.084892,37.5396332,127.084892,2,1,0
자양로22길(27),37.5396091,127.0845387,37.5395851,127.0841881,37.5395851,127.0841881,1,1,0
자양로23길(0),37.5411813,127.0836592,37.5412159,127.0835288,37.541319,127.0831733,3,4,0
자양로23길(1),37.5415884,127.0824813,37.541865,127.0827437,37.541865,127.0827437,1,1,0
자양로23길(2),37.5415884,127.0824813,37.5415042,127.0825352,37.5414281,127.0827975,1,1,0
자양로23길(3),37.542056,127.0829249,37.5423228,127.0831644,37.5423228,127.0831644,2,2,0
자양로23길(4),37.542056,127.0829249,37.541865,127.0827437,37.541865,127.0827437,1,1,7
자양로23길(5),37.5423228,127.0831644,37.5426924,127.0834171,37.5426924,127.0834171,4,4,6
자양로23길(6),37.5423228,127.0831644,37.542056,127.0829249,37.542056,127.0829249,2,2,0
자양로23길(7),37.5426924,127.0834171,37.5432014,127.083646,37.5432014,127.083646,3,3,0
자양로23길(8),37.5426924,127.0834171,37.5423228,127.0831644,37.5423228,127.0831644,3,3,6
자양로23길(9),37.5432014,127.083646,37.5432769,127.0836789,37.5432769,127.0836789,1,1,0
자양로23길(10),37.5432014,127.083646,37.5426924,127.0834171,37.5426924,127.0834171,4,4,0
자양로23길(11),37.5432769,127.0836789,37.5437685,127.0838934,37.5437685,127.0838934,1,0,0
자양로23길(12),37.5432769,127.0836789,37.5432014,127.083646,37.5432014,127.083646,1,1,0
자양로23길(13),37.5437685,127.0838934,37.5441901,127.0840242,37.5441901,127.0840242,1,1,0
자양로23길(14),37.5437685,127.0838934,37.5432769,127.0836789,37.5432769,127.0836789,1,1,0
자양로23길(15),37.5441901,127.0840242,37.5437685,127.0838934,37.5437685,127.0838934,1,1,0
자양로23길(16),37.5414281,127.0827975,37.541319,127.0831733,37.541319,127.0831733,5,5,6
자양로23길(17),37.5414281,127.0827975,37.5415345,127.0824301,37.5415884,127.0824813,0,1,0
자양로23길(18),37.541319,127.0831733,37.5414281,127.0827975,37.5414281,127.0827975,2,2,6
자양로23길(19),37.541319,127.0831733,37.5409492,127.0830174,37.5409492,127.0830174,4,4,0
자양로23길(20),37.541319,127.0831733,37.5412159,127.0835288,37.5411813,127.0836592,3,4,0
자양로23길(21),37.5409492,127.0830174,37.541319,127.0831733,37.541319,127.0831733,6,5,0
자양로23길(22),37.541865,127.0827437,37.542056,127.0829249,37.542056,127.0829249,1,1,7
자양로23길(23),37.541865,127.0827437,37.5415884,127.0824813,37.5415884,127.0824813,0,0,0
광나루로48길(0),37.5413382,127.0949318,37.5408815,127.0953825,37.5408815,127.0953825,1,2,0
광나루로48길(1),37.5413382,127.0949318,37.5420705,127.0941864,37.5424171,127.093849,3,3,0
